HE1991	HE1992	HE1993	HE1994	HE1995	HE1996	HE1997	HE1998	HE1999	HE2000	HE2001	HE2002	HE2003	HE2004	HE2005	HE2006	HE2007	HE2008	HE2009	HE2010	HE2011	HE2012	HE2013	HE2014	HE2015	HE2016	HE2017
14.3319	14.5737	15.0224	14.8483	14.7016	14.6323	14.3284	14.1591	14.2686	14.3000	14.6599	14.7629	14.2504	13.1446	12.1181	12.0355	10.8778	11.9585	13.8810	13.5101	12.9146	12.9362	12.6650	12.1299	12.2177	11.6018	10.7806
27.2961	26.9656	27.1292	26.1408	26.0563	25.0923	26.5025	26.9046	27.7897	26.7000	27.1603	26.4631	25.1754	24.0290	23.0694	21.6602	20.8992	21.5911	22.8028	21.0778	20.6106	20.1486	19.7078	19.5215	19.5748	18.9867	18.5317
26.7908	26.8554	26.5333	25.5599	24.9402	24.1132	23.9707	22.2761	24.2485	23.7000	23.9951	25.0962	25.6180	25.0555	24.5316	24.5072	23.7452	22.9456	24.2560	22.0605	20.7983	20.8509	21.1799	21.0212	22.0774	21.5517	20.5222
14.2600	14.1648	20.1726	20.4064	20.4887	19.5101	19.5302	19.9829	19.5207	18.9000	19.3940	18.2833	17.5631	17.0874	17.0236	17.0192	15.3551	15.0053	15.8208	15.0506	13.6644	13.1825	14.3978	15.6109	17.2086	16.5773	15.9108
15.6890	15.6335	15.5928	15.3544	14.7840	14.6794	14.1962	13.7904	13.4481	13.4000	13.2493	13.2107	13.0058	12.5002	12.1537	11.7661	11.3703	11.8009	12.5633	12.2800	11.9550	12.0392	11.7129	10.9617	9.5277	9.6734	9.5824
25.8767	25.0947	24.7826	24.2643	24.2271	23.4026	24.0208	23.7909	23.2794	21.9000	23.1540	23.6046	23.4822	22.1169	21.6391	21.0215	20.0052	19.0400	20.4808	19.1704	17.7185	18.3284	17.7089	17.1162	17.6189	17.6468	17.0132
25.7904	25.1411	26.2194	25.1567	23.1127	21.9484	23.1423	22.3076	22.9528	22.7000	23.6961	23.0099	22.0262	21.0523	21.2364	20.5224	18.4452	18.0849	21.1823	20.7678	18.8969	20.0020	20.0059	19.6857	20.8616	20.6119	19.8210
38.8281	36.6651	37.9124	35.1037	34.5448	35.7256	36.1340	36.4030	36.2279	36.4000	36.4029	36.2465	36.5424	34.1968	34.2898	32.5309	32.1583	31.0330	35.3845	34.4875	32.5107	32.5875	32.6081	31.9175	31.4544	31.7478	29.8654
12.7354	12.2678	11.4721	10.7608	9.8613	10.9618	11.6737	12.4501	11.7091	11.2000	12.3261	12.9994	12.3665	11.4940	11.5243	11.5712	11.5239	10.6682	11.0270	9.9902	9.2837	9.1504	10.6529	10.7596	11.6684	11.1073	10.7775
19.9053	19.1789	19.2502	19.5231	19.4202	19.5318	19.8384	19.6717	19.7984	19.4000	19.3079	19.5330	18.8106	17.6967	16.7189	16.6322	15.9726	14.2996	15.8690	15.4664	15.1440	14.6179	14.4263	14.0553	14.4364	14.8674	14.8604
45.5757	45.3051	44.9995	42.4568	45.1470	45.8762	44.6041	44.0057	43.6121	43.2000	44.3095	43.0916	42.3937	41.6248	39.9723	38.3170	37.4386	34.7196	37.9308	35.4985	32.8621	33.1965	31.1089	32.3020	35.6072	37.7352	35.8009
35.7554	35.2806	33.2696	33.6158	32.9024	34.1364	34.2322	35.5974	35.2132	34.3000	34.7541	35.7278	36.2681	35.3045	34.0893	31.4073	30.8659	30.8093	31.2213	29.6629	28.7040	27.4473	27.3257	25.9000	26.6678	25.9990	24.4101
29.2818	29.3244	28.9973	28.1351	27.0503	27.4858	27.0479	29.4443	28.1918	27.5000	28.0897	27.6144	27.6110	26.4376	25.6137	25.4293	24.0062	25.0840	26.0684	24.1152	22.8611	23.0705	22.9612	22.4687	23.2137	22.6645	21.8139
22.5280	20.2598	19.5194	19.1714	20.7377	20.0444	20.4182	20.7398	21.0702	20.1000	20.6639	20.6020	19.7246	18.8484	17.2669	16.3536	15.7929	14.4634	17.2913	16.7320	15.2630	14.9389	15.5080	16.5777	18.8989	19.3878	18.8899
40.5752	40.4499	40.6532	40.4605	41.0747	38.7030	38.8551	38.4052	40.9358	41.2000	40.1316	39.7349	37.6972	37.9309	37.6831	36.8305	33.6818	31.3800	33.3927	33.0020	30.3843	30.9204	28.8013	27.9564	30.4253	30.6260	28.9570
33.7616	33.2915	32.8271	32.2293	32.2194	32.2109	32.2046	31.1796	31.4480	30.6000	30.7220	32.1526	32.2035	31.2116	31.0291	29.3721	28.9382	27.6834	30.5332	28.4999	27.1014	26.3205	26.5842	24.8384	25.1245	24.3043	23.7065
19.4128	22.5089	23.5247	23.3698	27.8400	27.3342	26.4078	27.1127	26.9202	26.7000	25.9046	26.0653	25.3658	24.1429	22.7681	21.5707	19.7984	19.4537	21.2696	20.7730	19.2763	18.7403	18.3821	17.9303	19.1172	18.8283	18.0152
37.2286	37.1666	36.2720	36.0584	35.1156	34.1517	34.7426	33.8578	34.6760	34.1000	34.8854	34.1444	34.1370	31.6879	31.8689	32.4919	31.3215	29.4139	28.1282	27.2249	27.0959	27.3368	27.6149	28.1944	28.7324	28.8709	28.5984
31.8767	31.2204	31.3305	31.3774	31.0971	30.6290	31.1665	31.0409	31.9541	31.3000	32.1723	31.7138	30.0707	28.8702	28.2182	27.9523	29.6744	29.2912	29.9486	27.9814	25.9004	26.7401	27.7104	27.8315	27.8218	28.5498	26.4854
40.7963	43.7883	45.2751	45.9451	46.2135	47.0448	44.2337	43.9694	42.5921	43.2000	42.0538	41.2140	42.2998	41.4913	41.3268	39.2315	39.7604	42.3691	42.2356	40.8721	39.8903	38.9403	39.3696	38.1823	38.5888	38.3257	38.6365
36.7662	37.2309	36.9356	37.7524	38.6686	38.2768	37.9818	39.4003	36.3214	35.1000	36.7818	37.9587	35.4358	34.0604	31.0129	29.2814	26.8535	22.5231	29.4983	27.3851	35.8139	26.4759	29.1942	33.7352	37.0363	39.1111	36.9519
21.7232	23.6959	25.3491	26.9237	31.5448	31.6272	30.8664	31.5633	31.1470	31.1000	29.8376	29.5906	28.4632	27.4984	26.4272	25.6067	23.7542	22.4538	25.1953	24.0633	21.9912	21.4558	20.4757	19.9781	21.2798	20.9674	19.6557
10.7129	10.9001	10.8499	10.4905	10.5052	10.8005	10.7799	10.4796	10.0746	9.8000	10.3301	10.2480	10.1548	9.7857	9.7640	9.0893	8.0673	7.9082	9.2053	8.8445	8.3779	9.0158	8.6909	7.8815	8.4869	8.7482	8.7684
42.3881	41.4954	40.8046	39.8111	39.2149	41.6662	40.3403	40.2190	39.4663	39.6000	40.3065	40.5306	39.1666	36.4998	38.8917	38.3839	39.3858	34.4900	37.0924	39.0789	37.6488	37.8500	38.5034	37.4221	39.1442	38.2780	38.1247
37.4075	38.2249	38.5726	43.3781	40.6157	38.5632	38.2346	39.1934	38.2605	40.3000	39.6246	36.7271	35.6489	34.7298	34.4787	34.8843	33.7145	32.3252	32.6037	30.6192	29.7270	32.5032	33.2010	32.2423	33.1131	33.9230	33.8667
37.1606	36.1670	35.2345	33.8670	32.8990	30.7061	31.0584	31.6335	31.7723	31.1000	32.7544	33.4204	32.8646	31.3945	29.8342	29.1113	28.8129	28.4194	31.1973	28.7143	28.0295	28.4214	28.4379	26.8992	29.2685	28.8164	28.3556
31.1103	30.9238	31.4204	30.9613	30.7383	29.5523	30.4890	30.0385	30.6901	30.3000	30.1534	29.8431	29.2063	29.0364	31.3513	32.0718	28.0661	25.4601	27.3999	26.8819	25.7332	26.1487	25.7302	24.8577	25.4008	25.0250	24.9389
41.7017	41.8718	41.3542	39.4815	37.9345	39.3104	38.8669	44.6156	41.3410	42.3000	40.0579	39.8463	38.2324	38.3042	36.6337	34.8263	34.5790	33.1091	34.7419	34.1485	34.8457	33.3208	32.6845	32.2342	33.5610	33.3814	33.0778
28.8719	28.9715	30.2514	30.1744	28.0343	29.5963	28.4868	28.3348	27.6304	27.1000	28.5465	27.8090	26.9216	27.1368	25.8120	25.0954	23.2463	23.1690	23.9788	23.5416	23.1499	23.7653	22.5766	21.8813	21.4783	20.1458	18.6164
34.4230	34.3555	35.0073	33.8280	32.8752	32.3764	33.7630	35.4708	36.6518	36.1000	37.0413	37.9801	38.2037	36.4867	34.4190	32.2425	32.1086	30.5943	31.5742	29.4575	27.2043	27.2779	27.1859	28.9380	30.5688	30.7854	29.4731
23.2844	23.0218	23.8445	24.3289	23.6167	23.2614	23.0353	22.0339	23.0123	23.1000	22.5492	22.8260	22.4584	22.3652	22.0546	21.5354	19.0849	17.8438	20.8417	19.9885	18.2071	17.7699	19.5497	19.4711	20.7160	21.5032	20.9519
35.8069	35.7986	33.6244	33.5442	34.5841	33.9836	32.1546	32.1556	31.6004	30.1000	30.4776	30.2046	31.3238	29.8370	28.6878	28.1104	27.6851	28.1264	31.3617	29.1934	27.7228	27.6779	27.4439	26.6182	28.0199	28.8023	28.0621
